[00:00.01,00:00.35] 161.98Hz
[00:00.38,00:00.45] 172.61Hz
[00:00.48,00:00.56] 172.61Hz
[00:00.62,00:00.92] 95.76Hz
[00:01.18,00:01.60] 96.87Hz
[00:01.66,00:01.83] 110.00Hz
[00:01.96,00:02.29] 77.33Hz
[00:02.32,00:02.46] 80.06Hz
[00:02.67,00:03.72] 125.63Hz
[00:03.74,00:03.97] 124.91Hz
[00:04.04,00:05.50] 113.88Hz
[00:05.54,00:06.19] 266.20Hz
[00:06.25,00:06.36] 82.41Hz
[00:07.58,00:08.07] 128.57Hz
[00:08.13,00:08.34] 111.92Hz
[00:08.41,00:08.80] 93.57Hz
[00:08.86,00:09.38] 97.43Hz
[00:09.40,00:09.54] 86.80Hz
[00:09.59,00:10.19] 109.37Hz
[00:10.59,00:10.70] 71.33Hz
[00:10.84,00:11.10] 142.65Hz
[00:11.18,00:11.63] 141.83Hz
[00:11.68,00:13.08] 144.31Hz
[00:13.12,00:13.89] 267.74Hz
[00:13.92,00:14.16] 135.43Hz
[00:14.22,00:15.00] 267.74Hz
[00:15.17,00:15.39] 120.65Hz
[00:15.53,00:15.65] 124.19Hz
[00:15.67,00:15.91] 187.15Hz
[00:16.40,00:17.10] 96.87Hz
[00:17.32,00:17.75] 198.28Hz
[00:17.81,00:18.01] 216.22Hz
[00:18.04,00:18.51] 152.01Hz
[00:18.53,00:18.83] 211.28Hz
[00:18.89,00:19.17] 191.52Hz
[00:19.26,00:19.37] 201.74Hz
[00:19.52,00:19.80] 207.65Hz
[00:19.98,00:20.78] 211.28Hz
[00:20.84,00:21.30] 127.09Hz
[00:21.44,00:21.87] 154.67Hz
[00:21.97,00:22.41] 347.22Hz
[00:22.55,00:22.74] 329.63Hz
[00:22.78,00:22.89] 329.63Hz
[00:22.96,00:23.10] 91.44Hz
[00:23.14,00:25.94] 186.07Hz
[00:26.03,00:26.53] 190.42Hz
[00:26.56,00:27.19] 420.13Hz
[00:27.30,00:27.45] 207.65Hz
[00:27.49,00:27.69] 208.86Hz
[00:27.74,00:28.72] 199.42Hz
[00:29.15,00:29.59] 141.01Hz
[00:29.63,00:29.98] 374.29Hz
[00:30.08,00:30.48] 403.48Hz
[00:30.64,00:31.85] 190.42Hz
[00:31.88,00:32.15] 361.54Hz
[00:32.42,00:32.57] 68.90Hz
[00:32.82,00:33.05] 95.76Hz
[00:33.32,00:33.75] 106.25Hz
[00:34.32,00:34.42] 103.83Hz
[00:34.84,00:35.39] 137.79Hz
[00:35.56,00:35.86] 90.39Hz
[00:36.26,00:36.36] 82.88Hz
[00:37.00,00:37.11] 95.21Hz
[00:37.18,00:37.51] 97.43Hz
[00:37.58,00:37.83] 80.99Hz
[00:37.96,00:38.15] 93.03Hz
[00:38.45,00:38.53] 98.57Hz
[00:38.65,00:38.77] 108.11Hz
[00:38.84,00:39.09] 112.57Hz
[00:39.15,00:39.29] 95.21Hz
[00:39.39,00:39.74] 300.53Hz
[00:39.79,00:40.14] 205.27Hz
[00:40.19,00:40.52] 199.42Hz
