[00:00.859,00:01.370] 174.78Hz
[00:01.416,00:01.579] 172.59Hz
[00:01.753,00:01.927] 174.25Hz
[00:02.101,00:02.345] 294.58Hz
[00:02.380,00:02.798] 153.17Hz
[00:02.879,00:02.949] 179.73Hz
[00:02.972,00:03.669] 168.88Hz
[00:04.238,00:05.294] 168.62Hz
[00:05.352,00:05.550] 530.57Hz
[00:05.724,00:07.059] 173.01Hz
[00:07.175,00:07.883] 126.70Hz
[00:07.999,00:08.615] 201.86Hz
[00:08.638,00:10.205] 201.09Hz
[00:10.565,00:12.992] 162.57Hz
[00:13.142,00:13.827] 126.76Hz
[00:13.967,00:14.373] 135.90Hz
[00:14.420,00:14.768] 143.99Hz
[00:14.861,00:15.453] 175.21Hz
[00:15.511,00:16.718] 199.16Hz
[00:16.997,00:17.310] 141.91Hz
[00:17.403,00:18.808] 161.91Hz
[00:18.924,00:19.342] 148.04Hz
[00:19.389,00:19.586] 235.61Hz
[00:19.632,00:21.827] 221.25Hz
[00:21.885,00:22.512] 220.00Hz
[00:22.616,00:22.941] 87.31Hz
[00:22.988,00:23.812] 202.41Hz
[00:23.893,00:24.195] 198.45Hz
[00:24.218,00:24.311] 166.15Hz
[00:24.346,00:24.439] 87.75Hz
[00:24.520,00:26.308] 129.81Hz
[00:26.448,00:29.350] 219.37Hz
[00:29.443,00:29.745] 174.40Hz
[00:29.780,00:30.140] 76.79Hz
[00:30.198,00:30.256] 219.05Hz
[00:30.279,00:30.697] 216.46Hz
[00:30.743,00:30.813] 216.97Hz
[00:30.906,00:31.103] 396.06Hz
[00:31.150,00:31.289] 165.14Hz
[00:31.312,00:31.927] 174.78Hz
[00:31.962,00:32.380] 218.89Hz
[00:32.450,00:33.216] 131.08Hz
[00:33.321,00:34.145] 117.60Hz
[00:34.180,00:34.377] 110.30Hz
[00:34.470,00:34.551] 109.68Hz
[00:34.633,00:34.830] 714.26Hz
[00:34.900,00:34.969] 719.85Hz
[00:35.016,00:35.306] 643.05Hz
[00:35.422,00:37.907] 791.41Hz
[00:37.930,00:40.112] 791.96Hz
[00:40.194,00:40.600] 134.46Hz
[00:40.635,00:40.786] 93.91Hz
[00:40.809,00:40.856] 129.92Hz
[00:40.925,00:40.983] 117.20Hz
[00:41.018,00:41.297] 130.45Hz
[00:41.332,00:41.482] 302.70Hz
[00:41.517,00:41.691] 733.04Hz
[00:41.784,00:44.373] 857.20Hz
[00:44.455,00:44.571] 187.98Hz
[00:44.652,00:44.768] 408.34Hz
[00:44.791,00:45.674] 813.32Hz
[00:45.720,00:48.205] 622.33Hz
[00:48.286,00:49.064] 173.47Hz
[00:49.157,00:51.444] 204.89Hz
[00:51.699,00:52.941] 186.70Hz
[00:52.965,00:53.081] 138.75Hz
[00:53.139,00:54.126] 175.30Hz
[00:54.207,00:54.915] 172.75Hz
[00:55.020,00:55.728] 173.36Hz
[00:55.751,00:56.378] 259.84Hz
[00:56.413,00:57.678] 193.23Hz
[00:58.027,00:58.549] 147.09Hz
[00:58.572,00:58.944] 145.22Hz
[00:59.037,01:01.150] 65.92Hz
[01:01.382,01:02.148] 167.33Hz
[01:02.206,01:02.764] 170.55Hz
[01:02.856,01:03.274] 161.17Hz
[01:03.321,01:04.029] 135.26Hz
