[00:00.080,00:00.140] 67.71Hz
[00:01.400,00:01.630] 113.22Hz
[00:01.790,00:02.070] 121.35Hz
[00:02.120,00:02.320] 80.52Hz
[00:02.440,00:02.690] 113.88Hz
[00:02.930,00:03.000] 76.01Hz
[00:03.100,00:03.230] 81.93Hz
[00:03.470,00:03.840] 95.21Hz
[00:03.900,00:04.160] 93.03Hz
[00:04.190,00:04.390] 191.52Hz
[00:04.460,00:05.190] 96.32Hz
[00:05.390,00:05.510] 91.44Hz
[00:05.580,00:05.750] 92.50Hz
[00:05.820,00:05.980] 183.93Hz
[00:06.010,00:06.040] 92.50Hz
[00:06.140,00:06.280] 91.97Hz
[00:06.360,00:06.590] 180.77Hz
[00:06.680,00:06.730] 92.50Hz
[00:06.760,00:06.800] 91.44Hz
[00:06.870,00:07.060] 93.03Hz
[00:07.230,00:07.340] 93.03Hz
[00:07.780,00:07.890] 93.57Hz
[00:08.090,00:08.150] 186.07Hz
[00:08.340,00:08.430] 187.15Hz
[00:09.450,00:09.720] 164.81Hz
[00:10.180,00:10.360] 130.81Hz
[00:11.010,00:11.460] 183.93Hz
[00:11.630,00:11.800] 183.93Hz
[00:12.320,00:12.570] 78.23Hz
[00:13.060,00:13.270] 139.39Hz
[00:13.630,00:13.710] 77.33Hz
[00:13.730,00:14.000] 115.87Hz
[00:14.040,00:14.160] 252.71Hz
[00:14.260,00:14.510] 69.70Hz
[00:14.930,00:15.210] 156.46Hz
[00:15.640,00:15.780] 153.78Hz
[00:15.820,00:15.910] 374.29Hz
[00:16.030,00:16.140] 353.29Hz
[00:16.170,00:16.340] 447.69Hz
[00:16.390,00:16.460] 115.20Hz
[00:17.240,00:17.770] 160.12Hz
[00:17.830,00:19.040] 124.19Hz
[00:19.170,00:19.800] 137.79Hz
[00:19.910,00:21.080] 158.28Hz
[00:21.300,00:21.510] 89.35Hz
[00:21.840,00:21.920] 105.03Hz
[00:21.940,00:22.620] 103.83Hz
[00:22.640,00:22.880] 82.41Hz
[00:22.910,00:23.050] 91.44Hz
[00:23.430,00:23.660] 73.84Hz
[00:23.700,00:24.220] 103.83Hz
[00:24.250,00:25.530] 98.00Hz
[00:25.720,00:25.930] 87.31Hz
[00:26.100,00:26.280] 117.90Hz
[00:27.300,00:27.490] 138.59Hz
[00:27.860,00:28.060] 67.71Hz
[00:28.170,00:28.280] 65.41Hz
[00:28.410,00:28.530] 65.41Hz
[00:28.770,00:28.910] 123.47Hz
[00:29.610,00:29.720] 111.92Hz
[00:29.810,00:30.980] 112.57Hz
[00:31.020,00:31.130] 138.59Hz
[00:31.150,00:31.240] 76.89Hz
[00:31.290,00:31.500] 78.23Hz
[00:31.570,00:31.670] 135.43Hz
[00:31.700,00:31.920] 76.89Hz
[00:31.940,00:32.160] 155.56Hz
[00:32.180,00:32.390] 78.69Hz
[00:32.430,00:34.110] 155.56Hz
[00:35.190,00:35.450] 116.54Hz
[00:36.320,00:36.800] 138.59Hz
[00:36.910,00:37.210] 152.01Hz
[00:37.330,00:37.540] 154.67Hz
[00:38.220,00:38.480] 124.19Hz
[00:38.510,00:38.640] 69.30Hz
[00:38.670,00:38.880] 159.20Hz
[00:38.910,00:39.450] 117.90Hz
[00:39.490,00:39.600] 133.87Hz
[00:39.780,00:40.740] 158.28Hz
[00:40.760,00:41.670] 123.47Hz
[00:42.030,00:42.190] 89.87Hz
[00:43.100,00:43.180] 75.13Hz
[00:43.250,00:43.900] 102.63Hz
[00:44.010,00:44.120] 119.96Hz
[00:44.220,00:44.610] 139.39Hz
[00:44.760,00:45.100] 138.59Hz
[00:45.360,00:45.620] 119.96Hz
[00:45.640,00:45.710] 113.22Hz
[00:45.740,00:46.140] 137.00Hz
[00:46.180,00:46.560] 155.56Hz
[00:46.610,00:46.700] 139.39Hz
[00:46.750,00:47.760] 117.22Hz
[00:47.800,00:48.260] 152.89Hz
[00:48.340,00:49.170] 159.20Hz
[00:49.310,00:49.370] 137.79Hz
[00:49.480,00:49.550] 155.56Hz
[00:49.600,00:49.860] 183.93Hz
[00:49.950,00:50.020] 210.07Hz
[00:50.130,00:50.580] 206.46Hz
[00:50.650,00:50.980] 227.76Hz
[00:51.210,00:51.290] 117.90Hz
[00:51.330,00:51.500] 231.74Hz
[00:51.650,00:51.750] 230.40Hz
[00:51.870,00:52.110] 1237.34Hz
[00:52.430,00:52.670] 173.61Hz
[00:52.810,00:53.030] 176.64Hz
[00:53.100,00:53.230] 176.64Hz
[00:53.270,00:53.710] 115.87Hz
[00:53.880,00:55.040] 181.82Hz
[00:55.080,00:55.530] 185.00Hz
[00:55.580,00:56.190] 192.63Hz
[00:56.980,00:57.260] 117.22Hz
[00:57.710,00:57.840] 157.37Hz
[00:58.320,00:58.510] 92.50Hz
[00:58.540,00:58.890] 126.36Hz
[00:59.260,00:59.330] 69.70Hz
[01:01.590,01:01.700] 174.61Hz
[01:01.770,01:02.160] 122.05Hz
[01:02.440,01:03.540] 183.93Hz
[01:03.620,01:03.960] 187.15Hz
[01:04.520,01:04.850] 88.83Hz
[01:05.160,01:05.350] 91.44Hz
[01:05.430,01:05.630] 311.13Hz
[01:05.740,01:06.000] 341.25Hz
[01:06.050,01:06.170] 359.46Hz
[01:06.280,01:06.500] 359.46Hz
[01:07.590,01:07.690] 68.50Hz
[01:08.560,01:08.600] 65.41Hz
[01:09.170,01:09.270] 122.05Hz
[01:09.610,01:09.810] 115.87Hz
[01:10.520,01:11.230] 137.00Hz
[01:11.250,01:11.290] 175.63Hz
[01:11.390,01:11.600] 136.21Hz
[01:11.630,01:11.780] 112.57Hz
[01:11.940,01:13.050] 104.43Hz
[01:13.080,01:13.330] 143.48Hz
[01:13.490,01:13.510] 152.89Hz
[01:13.540,01:13.680] 136.21Hz
[01:13.700,01:13.780] 158.28Hz
[01:13.800,01:14.390] 115.87Hz
[01:15.120,01:15.600] 130.81Hz
[01:15.630,01:16.880] 111.28Hz
[01:17.020,01:17.240] 165.77Hz
[01:17.260,01:17.440] 153.78Hz
[01:17.500,01:18.920] 149.40Hz
[01:18.960,01:19.210] 114.54Hz
[01:19.260,01:19.610] 110.00Hz
[01:19.640,01:19.750] 233.08Hz
[01:19.920,01:20.900] 249.81Hz
[01:21.120,01:21.290] 168.67Hz
[01:21.330,01:21.400] 235.79Hz
[01:21.430,01:21.550] 122.76Hz
[01:21.570,01:21.700] 74.70Hz
[01:22.020,01:22.060] 70.51Hz
[01:22.300,01:22.630] 110.00Hz
[01:22.780,01:23.280] 164.81Hz
[01:23.360,01:23.800] 171.61Hz
[01:23.820,01:24.880] 134.65Hz
[01:24.930,01:25.070] 104.43Hz
[01:25.090,01:25.210] 79.14Hz
[01:25.230,01:25.550] 112.57Hz
[01:25.580,01:25.930] 182.87Hz
[01:26.060,01:27.170] 141.01Hz
[01:27.250,01:27.420] 104.43Hz
[01:27.490,01:27.670] 93.57Hz
[01:27.700,01:28.110] 178.70Hz
[01:28.140,01:28.350] 173.61Hz
[01:28.460,01:28.820] 155.56Hz
[01:29.330,01:29.480] 152.89Hz
[01:30.040,01:30.360] 155.56Hz
[01:30.400,01:30.570] 137.79Hz
[01:30.660,01:30.920] 166.73Hz
[01:30.940,01:31.100] 154.67Hz
[01:31.210,01:31.460] 159.20Hz
[01:31.670,01:31.730] 156.46Hz
[01:31.750,01:32.470] 110.00Hz
[01:32.510,01:33.180] 145.15Hz
[01:33.330,01:33.560] 142.65Hz
[01:33.650,01:33.830] 69.30Hz
[01:33.890,01:34.010] 78.23Hz
[01:34.520,01:34.550] 65.41Hz
[01:34.730,01:35.090] 78.23Hz
[01:35.120,01:35.270] 139.39Hz
[01:35.290,01:35.490] 104.43Hz
[01:35.520,01:35.620] 155.56Hz
[01:35.670,01:35.700] 138.59Hz
[01:35.770,01:35.830] 119.96Hz
[01:35.850,01:36.770] 171.61Hz
[01:36.840,01:37.050] 119.26Hz
[01:37.090,01:37.710] 121.35Hz
[01:37.860,01:38.160] 142.65Hz
[01:38.560,01:38.800] 94.12Hz
[01:39.020,01:39.320] 131.57Hz
[01:40.280,01:40.790] 117.22Hz
[01:40.810,01:40.890] 145.15Hz
[01:40.930,01:41.150] 146.83Hz
[01:41.460,01:41.610] 156.46Hz
[01:41.660,01:41.870] 153.78Hz
[01:41.910,01:42.810] 146.83Hz
[01:42.890,01:43.510] 135.43Hz
[01:43.540,01:44.040] 178.70Hz
[01:44.070,01:44.220] 197.13Hz
[01:44.250,01:44.480] 221.27Hz
[01:44.520,01:44.690] 229.08Hz
[01:44.790,01:45.010] 222.56Hz
[01:45.870,01:46.240] 175.63Hz
[01:46.390,01:46.700] 177.67Hz
[01:46.720,01:47.290] 120.65Hz
[01:47.500,01:47.820] 186.07Hz
[01:47.890,01:48.070] 185.00Hz
[01:48.160,01:48.240] 188.23Hz
[01:48.260,01:49.040] 207.65Hz
[01:49.260,01:49.840] 367.86Hz
[01:49.890,01:49.960] 122.05Hz
[01:50.060,01:50.240] 133.10Hz
[01:50.700,01:50.860] 115.20Hz
[01:51.920,01:52.120] 92.50Hz
[01:52.300,01:52.440] 117.22Hz
[01:52.790,01:52.900] 138.59Hz
[01:52.930,01:53.100] 286.96Hz
[01:53.220,01:53.300] 65.41Hz
[01:55.050,01:55.260] 173.61Hz
[01:55.350,01:55.800] 122.76Hz
[01:55.830,01:55.950] 216.22Hz
[01:56.020,01:56.750] 213.74Hz
[01:56.830,01:57.130] 206.46Hz
[01:57.300,01:57.560] 181.82Hz
[01:57.700,01:57.780] 179.73Hz
[01:57.960,01:58.400] 365.74Hz
[01:58.490,01:58.580] 69.70Hz
[01:59.420,01:59.700] 278.79Hz
[01:59.770,01:59.930] 88.32Hz
[02:00.280,02:00.450] 88.83Hz
[02:01.280,02:01.480] 86.80Hz
[02:01.920,02:02.490] 128.57Hz
[02:02.520,02:02.580] 116.54Hz
[02:02.610,02:03.360] 111.92Hz
[02:03.400,02:04.110] 143.48Hz
[02:04.160,02:04.280] 141.01Hz
[02:04.480,02:04.760] 152.89Hz
[02:04.870,02:05.210] 108.11Hz
[02:05.260,02:06.360] 115.20Hz
[02:06.470,02:06.570] 172.61Hz
[02:06.600,02:06.710] 117.90Hz
[02:06.800,02:08.410] 129.31Hz
[02:08.440,02:08.750] 131.57Hz
[02:08.850,02:08.950] 65.41Hz
[02:08.990,02:09.130] 132.33Hz
[02:09.160,02:09.290] 162.92Hz
[02:09.320,02:09.490] 89.35Hz
[02:09.780,02:10.600] 163.86Hz
[02:10.650,02:10.840] 144.31Hz
[02:10.890,02:11.010] 69.70Hz
[02:11.040,02:11.100] 150.26Hz
[02:11.160,02:11.260] 145.99Hz
[02:11.400,02:11.480] 160.12Hz
[02:11.660,02:11.880] 196.00Hz
[02:11.900,02:12.470] 141.83Hz
[02:12.920,02:13.240] 93.57Hz
[02:13.280,02:13.630] 190.42Hz
[02:13.670,02:14.150] 136.21Hz
[02:14.280,02:14.390] 69.30Hz
[02:14.430,02:14.700] 173.61Hz
[02:14.720,02:14.870] 211.28Hz
[02:14.900,02:14.980] 108.74Hz
[02:15.200,02:15.810] 87.31Hz
[02:15.850,02:15.980] 174.61Hz
[02:16.070,02:16.720] 117.22Hz
[02:16.750,02:17.240] 171.61Hz
[02:17.260,02:17.450] 115.87Hz
[02:17.490,02:17.800] 175.63Hz
[02:17.940,02:18.220] 174.61Hz
[02:18.270,02:18.320] 172.61Hz
[02:18.480,02:18.670] 174.61Hz
[02:18.840,02:19.130] 174.61Hz
[02:19.240,02:19.420] 73.42Hz
[02:19.710,02:20.020] 110.00Hz
[02:20.240,02:20.450] 122.05Hz
[02:20.540,02:20.790] 117.22Hz
[02:20.960,02:21.060] 117.90Hz
[02:21.730,02:22.220] 117.22Hz
[02:22.260,02:22.560] 118.58Hz
[02:22.650,02:22.930] 105.64Hz
[02:23.060,02:23.200] 128.57Hz
[02:23.330,02:23.660] 298.80Hz
[02:23.990,02:24.360] 120.65Hz
[02:24.500,02:24.870] 120.65Hz
[02:25.930,02:27.250] 108.11Hz
[02:28.030,02:28.150] 115.87Hz
[02:28.850,02:29.190] 118.58Hz
[02:29.230,02:29.360] 117.90Hz
[02:29.480,02:29.630] 144.31Hz
[02:30.440,02:30.710] 124.91Hz
[02:30.790,02:30.950] 204.09Hz
[02:30.980,02:31.060] 117.22Hz
[02:31.080,02:31.220] 167.69Hz
[02:31.650,02:31.800] 121.35Hz
[02:32.130,02:32.330] 245.52Hz
[02:32.710,02:32.950] 115.20Hz
[02:33.120,02:33.660] 122.05Hz
[02:34.130,02:34.660] 106.25Hz
[02:36.930,02:37.210] 66.17Hz
[02:38.190,02:38.460] 114.54Hz
[02:38.810,02:39.160] 78.23Hz
[02:39.250,02:39.450] 79.14Hz
[02:40.040,02:40.290] 125.63Hz
[02:40.320,02:40.430] 70.10Hz
[02:40.460,02:40.800] 138.59Hz
[02:40.840,02:40.900] 161.05Hz
[02:40.940,02:41.460] 159.20Hz
[02:41.490,02:41.610] 87.31Hz
[02:41.700,02:41.890] 76.45Hz
[02:41.920,02:42.030] 142.65Hz
[02:42.080,02:42.130] 137.79Hz
[02:42.170,02:42.330] 68.90Hz
[02:42.620,02:42.780] 126.36Hz
[02:42.840,02:43.160] 130.06Hz
[02:43.200,02:43.310] 66.17Hz
[02:43.340,02:43.650] 133.10Hz
[02:43.720,02:43.820] 132.33Hz
[02:43.860,02:44.190] 132.33Hz
[02:44.260,02:44.570] 132.33Hz
[02:45.000,02:45.090] 144.31Hz
[02:45.130,02:45.310] 295.37Hz
[02:45.860,02:45.910] 65.41Hz
[02:46.250,02:46.530] 65.41Hz
[02:46.640,02:47.240] 65.41Hz
[02:47.300,02:47.510] 140.20Hz
[02:47.920,02:48.010] 69.30Hz
[02:48.330,02:48.650] 197.13Hz
[02:48.680,02:48.970] 205.27Hz
[02:49.270,02:49.410] 86.80Hz
[02:49.460,02:49.670] 80.99Hz
[02:50.040,02:50.540] 401.16Hz
[02:51.620,02:51.780] 95.76Hz
[02:51.800,02:51.970] 106.25Hz
[02:53.340,02:53.630] 141.83Hz
[02:53.790,02:53.960] 125.63Hz
[02:55.010,02:55.190] 197.13Hz
[02:55.380,02:55.860] 133.87Hz
[02:56.180,02:56.260] 68.90Hz
[02:56.530,02:56.630] 65.41Hz
[02:56.870,02:57.030] 115.87Hz
[02:57.080,02:57.160] 231.74Hz
[02:57.210,02:57.520] 207.65Hz
[02:57.540,02:57.610] 130.81Hz
[02:58.040,02:58.270] 65.41Hz
[02:58.320,02:58.460] 199.42Hz
[02:58.530,02:59.210] 98.00Hz
[02:59.250,02:59.590] 77.78Hz
[02:59.820,02:59.930] 374.29Hz
[02:59.980,03:00.490] 341.25Hz
[03:01.510,03:01.680] 79.14Hz
[03:01.990,03:02.490] 146.83Hz
[03:03.220,03:03.670] 76.89Hz
[03:03.890,03:04.110] 77.33Hz
[03:04.460,03:04.580] 65.79Hz
[03:05.700,03:06.040] 229.08Hz
[03:06.600,03:06.890] 78.23Hz
[03:06.960,03:07.320] 347.22Hz
[03:08.270,03:08.360] 197.13Hz
[03:08.510,03:08.620] 119.26Hz
[03:08.740,03:08.800] 177.67Hz
[03:08.850,03:09.010] 194.87Hz
[03:09.080,03:09.180] 174.61Hz
[03:09.270,03:09.530] 351.25Hz
[03:09.600,03:09.660] 345.22Hz
[03:09.740,03:10.600] 295.37Hz
[03:10.730,03:10.810] 124.19Hz
[03:10.860,03:11.030] 99.71Hz
[03:11.230,03:11.340] 99.14Hz
[03:12.450,03:12.660] 130.06Hz
[03:12.740,03:12.890] 134.65Hz
